volume#file_name#duration#file_size#file_size#video_format#video_bit_rate#frame_rate#hdr_format#mastering_display_color_primaries#mastering_display_luminance#max_fall#max_cll
WD2_5TB#Sicario_4K.mkv#02:01:20#51.93 GB#51.93 GB#HEVC#56486.37 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 4000 cd/m2##
WD2_5TB#Sicario_Day_of_the_Soldado_4K.mkv#02:02:24#46.02 GB#46.02 GB#HEVC#50098.38 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##8325 cd/m2
WD2_5TB#Skyscraper_4K.mkv#01:42:24#59.96 GB#59.96 GB#HEVC#80425.84 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 1000 cd/m2##1000 cd/m2
WD2_5TB#Starship_Troopers_4K.mkv#02:09:28#52.66 GB#52.66 GB#HEVC#50476.58 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 4000 cd/m2##3995 cd/m2
WD2_5TB#Terminator_3- Rise of the Machines.mkv#01:49:06#22.39 GB#22.39 GB#AVC#26692.23 Kbps#23.976#####
WD2_5TB#Terminator_4_Salvation_Theatrical_Cut_4K .mkv#01:54:46#41.86 GB#41.86 GB#HEVC#48241.03 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##992 cd/m2
WD2_5TB#Terminator_5_Genisys_4K.mkv#02:05:43#53.63 GB#53.63 GB#HEVC#55923.85 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Terminator_6_Dark Fate_4K.mkv#02:08:05#46.03 GB#46.03 GB#HEVC#45678.47 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#The_Terminator.mkv#01:47:03#27.93 GB#27.93 GB#AVC#31697.21 Kbps#23.976#####
WD2_5TB#The_Greatest_Showman_4K.mkv#01:44:49#46.60 GB#46.60 GB#HEVC#58157.06 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 1000 cd/m2##
WD2_5TB#The_Great_Wall_4K.mkv#01:43:04#49.58 GB#49.58 GB#HEVC#63266.77 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0000 cd/m2, max: 1000 cd/m2##814 cd/m2
WD2_5TB#The_Prestige_4K.mkv#02:10:18#54.65 GB#54.65 GB#HEVC#54842.15 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 4000 cd/m2##1121 cd/m2
WD2_5TB#The Shining.mkv#02:23:45#80.29 GB#80.29 GB#HEVC#74322.05 Kbps#23.976#SMPTE ST 2094 App 4#Display P3#min: 0.0050 cd/m2, max: 4000 cd/m2##1633 cd/m2
WD2_5TB#Lara_Croft-Tomb Raider_4K.mkv#01:40:31#49.03 GB#49.03 GB#HEVC#64186.55 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 1000 cd/m2##1000 cd/m2
WD2_5TB#Lara_Croft-Tomb Raider_4K_The Cradle_of Life_4K.mkv#01:57:21#54.41 GB#54.41 GB#HEVC#62605.93 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Tomb_Raider_4K.mkv#01:57:49#49.38 GB#49.38 GB#HEVC#52468.81 Kbps#23.976#SMPTE ST 2086#BT.2020#min: 0.0050 cd/m2, max: 4000 cd/m2##2971 cd/m2
WD2_5TB#Bumblebee_4K.mkv#01:53:53#48.20 GB#48.20 GB#HEVC#55140.51 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Transformers_4K.mkv#02:23:27#73.99 GB#73.99 GB#HEVC#68975.18 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Transformers_5_The_Last_Knight_3D.mkv#02:34:37#36.05 GB#36.05 GB#AVC#28342.23 Kbps#23.976#####
WD2_5TB#Transformers_Age_of_Extinction_3D.mkv#02:45:07#34.24 GB#34.24 GB#AVC#24566.28 Kbps#23.976#####
WD2_5TB#Transformers_Age_of_Extinction_4K.mkv#02:45:07#80.90 GB#80.90 GB#HEVC#64385.41 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Transformers_Dark_of_the_Moon_4K.mkv#02:34:23#78.28 GB#78.28 GB#HEVC#67468.53 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Transformers_Revenge_of_the_Fallen_4K.mkv#02:29:53#76.14 GB#76.14 GB#HEVC#67778.32 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#Transformers_The_Last_Knight_4K.mkv#02:34:38#80.04 GB#80.04 GB#HEVC#69065.41 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0001 cd/m2, max: 1000 cd/m2##
WD2_5TB#World_War_Z_Extended_Cut.mkv#02:03:03#30.93 GB#30.93 GB#AVC#29423.73 Kbps#23.976#####
WD2_5TB#Zombieland2_Double_Tap_4K.mkv#01:39:01#42.35 GB#42.35 GB#HEVC#54189.90 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 4000 cd/m2##1001 cd/m2
WD2_5TB#Zombieland_4K.mkv#01:27:42#37.50 GB#37.50 GB#HEVC#53586.91 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 4000 cd/m2##10000 cd/m2
WD2_5TB#Predator_1_4K.mkv#01:46:34#49.08 GB#49.08 GB#HEVC#59803.76 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 1000 cd/m2##
WD2_5TB#Predator_2_4K.mkv#01:48:00#48.99 GB#48.99 GB#HEVC#59148.72 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 1000 cd/m2##
WD2_5TB#Predator_3_4K.mkv#01:46:53#47.03 GB#47.03 GB#HEVC#57334.19 Kbps#23.976#SMPTE ST 2086#Display P3#min: 0.0050 cd/m2, max: 1000 cd/m2##
